Tue Nov 27 01:38:56 -02 2018
k=6 min=6 exploredSolutions=1 branchedSolutions=0 limitsChecked=47
k=6 min=6 exploredSolutions=5900000 branchedSolutions=132409414 limitsChecked=82434843
k=6 min=6 exploredSolutions=6000000 branchedSolutions=134654095 limitsChecked=83832045
k=6 min=6 exploredSolutions=6100000 branchedSolutions=136899060 limitsChecked=85229245
k=6 min=6 exploredSolutions=6200000 branchedSolutions=139144583 limitsChecked=86626439
k=6 min=6 exploredSolutions=6300000 branchedSolutions=141388107 limitsChecked=88023639
k=6 min=6 exploredSolutions=6400000 branchedSolutions=143631644 limitsChecked=89420843
k=6 min=6 exploredSolutions=6500000 branchedSolutions=145875172 limitsChecked=90818045
k=6 min=6 exploredSolutions=6600000 branchedSolutions=148118697 limitsChecked=92215245
k=6 min=6 exploredSolutions=6700000 branchedSolutions=150362199 limitsChecked=93612437
k=6 min=6 exploredSolutions=6800000 branchedSolutions=152608050 limitsChecked=95009645
k=6 min=6 exploredSolutions=6900000 branchedSolutions=154853596 limitsChecked=96406847
k=6 min=6 exploredSolutions=7000000 branchedSolutions=157097407 limitsChecked=97804047
k=6 min=6 exploredSolutions=7100000 branchedSolutions=159341514 limitsChecked=99201249
k=6 min=6 exploredSolutions=7200000 branchedSolutions=161586744 limitsChecked=100598441
k=6 min=6 exploredSolutions=7300000 branchedSolutions=163832594 limitsChecked=101995649
k=6 min=6 exploredSolutions=7400000 branchedSolutions=166076113 limitsChecked=103392847
k=6 min=6 exploredSolutions=7500000 branchedSolutions=168319637 limitsChecked=104790047
k=6 min=6 exploredSolutions=7600000 branchedSolutions=170563167 limitsChecked=106187249
k=6 min=6 exploredSolutions=7700000 branchedSolutions=172806701 limitsChecked=107584453
k=6 min=6 exploredSolutions=7800000 branchedSolutions=175050210 limitsChecked=108981647
k=6 min=6 exploredSolutions=7900000 branchedSolutions=177293746 limitsChecked=110378851
k=6 min=6 exploredSolutions=8000000 branchedSolutions=179537269 limitsChecked=111776051
k=6 min=6 exploredSolutions=8100000 branchedSolutions=181780789 limitsChecked=113173249
k=6 min=6 exploredSolutions=8200000 branchedSolutions=184024323 limitsChecked=114570453
k=6 min=6 exploredSolutions=8300000 branchedSolutions=186267848 limitsChecked=115967653
k=6 min=6 exploredSolutions=8400000 branchedSolutions=188511362 limitsChecked=117364849
k=6 min=6 exploredSolutions=8500000 branchedSolutions=190754885 limitsChecked=118762049
k=6 min=6 exploredSolutions=8600000 branchedSolutions=192998432 limitsChecked=120159257
k=6 min=6 exploredSolutions=8700000 branchedSolutions=195241950 limitsChecked=121556455
k=6 min=6 exploredSolutions=8800000 branchedSolutions=197485464 limitsChecked=122953651
k=6 min=6 exploredSolutions=8900000 branchedSolutions=199728988 limitsChecked=124350851
k=6 min=6 exploredSolutions=9000000 branchedSolutions=201973975 limitsChecked=125748059
k=6 min=6 exploredSolutions=9100000 branchedSolutions=204219228 limitsChecked=127145259
k=6 min=6 exploredSolutions=9200000 branchedSolutions=206464191 limitsChecked=128542459
k=6 min=6 exploredSolutions=9300000 branchedSolutions=208707705 limitsChecked=129939655
k=6 min=6 exploredSolutions=9400000 branchedSolutions=210953534 limitsChecked=131336855
k=6 min=6 exploredSolutions=9500000 branchedSolutions=213198520 limitsChecked=132734063
k=6 min=6 exploredSolutions=9600000 branchedSolutions=215442897 limitsChecked=134131259
k=6 min=6 exploredSolutions=9700000 branchedSolutions=217686420 limitsChecked=135528459
k=6 min=6 exploredSolutions=9800000 branchedSolutions=219929940 limitsChecked=136925657
k=6 min=6 exploredSolutions=9900000 branchedSolutions=222173464 limitsChecked=138322857
k=6 min=6 exploredSolutions=10000000 branchedSolutions=224417005 limitsChecked=139720063
k=6 min=6 exploredSolutions=10100000 branchedSolutions=226661682 limitsChecked=141117263
k=6 min=6 exploredSolutions=10200000 branchedSolutions=228906352 limitsChecked=142514461
k=6 min=6 exploredSolutions=10300000 branchedSolutions=231152180 limitsChecked=143911661
k=6 min=6 exploredSolutions=10400000 branchedSolutions=233395705 limitsChecked=145308861
k=6 min=6 exploredSolutions=10500000 branchedSolutions=235640969 limitsChecked=146706065
k=6 min=6 exploredSolutions=10600000 branchedSolutions=237886215 limitsChecked=148103263
k=6 min=6 exploredSolutions=10700000 branchedSolutions=240130907 limitsChecked=149500469
k=6 min=6 exploredSolutions=10800000 branchedSolutions=242374404 limitsChecked=150897659
k=6 min=6 exploredSolutions=10900000 branchedSolutions=244617940 limitsChecked=152294863
k=6 min=6 exploredSolutions=11000000 branchedSolutions=246861475 limitsChecked=153692067
k=6 min=6 exploredSolutions=11100000 branchedSolutions=249104983 limitsChecked=155089261
k=6 min=6 exploredSolutions=11200000 branchedSolutions=251348823 limitsChecked=156486471
k=6 min=6 exploredSolutions=11300000 branchedSolutions=253594363 limitsChecked=157883671
k=6 min=6 exploredSolutions=11400000 branchedSolutions=255840170 limitsChecked=159280863
k=6 min=6 exploredSolutions=11500000 branchedSolutions=258083705 limitsChecked=160678067
k=6 min=6 exploredSolutions=11600000 branchedSolutions=260328386 limitsChecked=162075269
k=6 min=6 exploredSolutions=11700000 branchedSolutions=262573643 limitsChecked=163472471
k=6 min=6 exploredSolutions=11800000 branchedSolutions=264818891 limitsChecked=164869669
k=6 min=6 exploredSolutions=11900000 branchedSolutions=267062404 limitsChecked=166266865
k=6 min=6 exploredSolutions=12000000 branchedSolutions=269305945 limitsChecked=167664071
k=6 min=6 exploredSolutions=12100000 branchedSolutions=271549458 limitsChecked=169061267
k=6 min=6 exploredSolutions=12200000 branchedSolutions=273792999 limitsChecked=170458473
k=6 min=6 exploredSolutions=12300000 branchedSolutions=276036512 limitsChecked=171855669
k=6 min=6 exploredSolutions=12400000 branchedSolutions=278280032 limitsChecked=173252867
k=6 min=6 exploredSolutions=12500000 branchedSolutions=280523572 limitsChecked=174650073
k=6 min=6 exploredSolutions=12600000 branchedSolutions=282767085 limitsChecked=176047269
k=6 min=6 exploredSolutions=12700000 branchedSolutions=285010632 limitsChecked=177444477
k=6 min=6 exploredSolutions=12800000 branchedSolutions=287254145 limitsChecked=178841673
k=6 min=6 exploredSolutions=12900000 branchedSolutions=289497664 limitsChecked=180238871
k=6 min=6 exploredSolutions=13000000 branchedSolutions=291741193 limitsChecked=181636073
k=6 min=6 exploredSolutions=13100000 branchedSolutions=293984724 limitsChecked=183033275
k=6 min=6 exploredSolutions=13200000 branchedSolutions=296228248 limitsChecked=184430475
k=6 min=6 exploredSolutions=13300000 branchedSolutions=298471771 limitsChecked=185827675
k=6 min=6 exploredSolutions=13400000 branchedSolutions=300715285 limitsChecked=187224871
k=6 min=6 exploredSolutions=13500000 branchedSolutions=302958827 limitsChecked=188622077
k=6 min=6 exploredSolutions=13600000 branchedSolutions=305202357 limitsChecked=190019279
k=6 min=6 exploredSolutions=13700000 branchedSolutions=307445891 limitsChecked=191416483
k=6 min=6 exploredSolutions=13800000 branchedSolutions=309689399 limitsChecked=192813677
k=6 min=6 exploredSolutions=13900000 branchedSolutions=311932924 limitsChecked=194210877
k=6 min=6 exploredSolutions=14000000 branchedSolutions=314176459 limitsChecked=195608081
k=6 min=6 exploredSolutions=14100000 branchedSolutions=316419973 limitsChecked=197005277
k=6 min=6 exploredSolutions=14200000 branchedSolutions=318663513 limitsChecked=198402483
k=6 min=6 exploredSolutions=14300000 branchedSolutions=320907031 limitsChecked=199799681
k=6 min=6 exploredSolutions=14400000 branchedSolutions=323150540 limitsChecked=201196875
k=6 min=6 exploredSolutions=14500000 branchedSolutions=325394075 limitsChecked=202594079
k=6 min=6 exploredSolutions=14600000 branchedSolutions=327637622 limitsChecked=203991287
k=6 min=6 exploredSolutions=14700000 branchedSolutions=329881140 limitsChecked=205388485
k=6 min=6 exploredSolutions=14800000 branchedSolutions=332124653 limitsChecked=206785681
k=6 min=6 exploredSolutions=14900000 branchedSolutions=334368194 limitsChecked=208182887
k=6 min=6 exploredSolutions=15000000 branchedSolutions=336611713 limitsChecked=209580085
k=6 min=6 exploredSolutions=15100000 branchedSolutions=338855238 limitsChecked=210977285
k=6 min=6 exploredSolutions=15200000 branchedSolutions=341098761 limitsChecked=212374485
k=6 min=6 exploredSolutions=15300000 branchedSolutions=343342274 limitsChecked=213771681
k=6 min=6 exploredSolutions=15400000 branchedSolutions=345585826 limitsChecked=215168891
k=6 min=6 exploredSolutions=15500000 branchedSolutions=347829334 limitsChecked=216566085
k=6 min=6 exploredSolutions=15600000 branchedSolutions=350072859 limitsChecked=217963285
k=6 min=6 exploredSolutions=15700000 branchedSolutions=352316394 limitsChecked=219360489
k=6 min=6 exploredSolutions=15800000 branchedSolutions=354559913 limitsChecked=220757687
k=6 min=6 exploredSolutions=15900000 branchedSolutions=356803448 limitsChecked=222154891
k=6 min=6 exploredSolutions=16000000 branchedSolutions=359046961 limitsChecked=223552087
k=6 min=6 exploredSolutions=16100000 branchedSolutions=361290492 limitsChecked=224949289
k=6 min=6 exploredSolutions=16200000 branchedSolutions=363534010 limitsChecked=226346487
k=6 min=6 exploredSolutions=16300000 branchedSolutions=365777551 limitsChecked=227743693
k=6 min=6 exploredSolutions=16400000 branchedSolutions=368021074 limitsChecked=229140893
k=6 min=6 exploredSolutions=16500000 branchedSolutions=370264583 limitsChecked=230538087
k=6 min=6 exploredSolutions=16600000 branchedSolutions=372508113 limitsChecked=231935289
k=6 min=6 exploredSolutions=16700000 branchedSolutions=374751653 limitsChecked=233332495
k=6 min=6 exploredSolutions=16800000 branchedSolutions=376995179 limitsChecked=234729695
k=6 min=6 exploredSolutions=16900000 branchedSolutions=379238702 limitsChecked=236126895
k=6 min=6 exploredSolutions=17000000 branchedSolutions=381482215 limitsChecked=237524091
k=6 min=6 exploredSolutions=17100000 branchedSolutions=383725735 limitsChecked=238921289
k=6 min=6 exploredSolutions=17200000 branchedSolutions=385969281 limitsChecked=240318497
k=6 min=6 exploredSolutions=17300000 branchedSolutions=388212805 limitsChecked=241715697
k=6 min=6 exploredSolutions=17400000 branchedSolutions=390456323 limitsChecked=243112895
k=6 min=6 exploredSolutions=17500000 branchedSolutions=392699831 limitsChecked=244510089
k=6 min=6 exploredSolutions=17600000 branchedSolutions=394943378 limitsChecked=245907297
k=6 min=6 exploredSolutions=17700000 branchedSolutions=397186902 limitsChecked=247304497
k=6 min=6 exploredSolutions=17800000 branchedSolutions=399430421 limitsChecked=248701695
k=6 min=6 exploredSolutions=17900000 branchedSolutions=401673944 limitsChecked=250098895
k=6 min=6 exploredSolutions=18000000 branchedSolutions=404946974 limitsChecked=251979778
k=6 min=6 exploredSolutions=18100000 branchedSolutions=405991765 limitsChecked=252768564
k=6 min=6 exploredSolutions=18200000 branchedSolutions=407031384 limitsChecked=253557356
k=6 min=6 exploredSolutions=18300000 branchedSolutions=408081384 limitsChecked=254346152
k=6 min=6 exploredSolutions=18400000 branchedSolutions=409105427 limitsChecked=255134934
k=6 min=6 exploredSolutions=18500000 branchedSolutions=410129510 limitsChecked=255923732
k=6 min=6 exploredSolutions=18600000 branchedSolutions=411153539 limitsChecked=256712508
k=6 min=6 exploredSolutions=18700000 branchedSolutions=412194487 limitsChecked=257501306
k=6 min=6 exploredSolutions=18800000 branchedSolutions=413243163 limitsChecked=258290098
k=6 min=6 exploredSolutions=18900000 branchedSolutions=414267195 limitsChecked=259078876
k=6 min=6 exploredSolutions=19000000 branchedSolutions=415312659 limitsChecked=259867676
k=6 min=6 exploredSolutions=19100000 branchedSolutions=416377566 limitsChecked=260656470
k=6 min=6 exploredSolutions=19200000 branchedSolutions=417422347 limitsChecked=261445252
k=6 min=6 exploredSolutions=19300000 branchedSolutions=418451593 limitsChecked=262234042
k=6 min=6 exploredSolutions=19400000 branchedSolutions=419506776 limitsChecked=263022838
k=6 min=6 exploredSolutions=19500000 branchedSolutions=420536014 limitsChecked=263811624
k=6 min=6 exploredSolutions=19600000 branchedSolutions=421560082 limitsChecked=264600416
k=6 min=6 exploredSolutions=19700000 branchedSolutions=422584160 limitsChecked=265389212
k=6 min=6 exploredSolutions=19800000 branchedSolutions=423615681 limitsChecked=266177990
k=6 min=6 exploredSolutions=19900000 branchedSolutions=424668555 limitsChecked=266966784
k=6 min=6 exploredSolutions=20000000 branchedSolutions=425697817 limitsChecked=267755580
k=6 min=6 exploredSolutions=20100000 branchedSolutions=426742592 limitsChecked=268544360
k=6 min=6 exploredSolutions=20200000 branchedSolutions=427787412 limitsChecked=269333158
k=6 min=6 exploredSolutions=20300000 branchedSolutions=428811467 limitsChecked=270121944
k=6 min=6 exploredSolutions=20400000 branchedSolutions=429835525 limitsChecked=270910732
k=6 min=6 exploredSolutions=20500000 branchedSolutions=430859603 limitsChecked=271699528
k=6 min=6 exploredSolutions=20600000 branchedSolutions=431883652 limitsChecked=272488312
k=6 min=6 exploredSolutions=20700000 branchedSolutions=432907719 limitsChecked=273277104
k=6 min=6 exploredSolutions=20800000 branchedSolutions=433931797 limitsChecked=274065900
k=6 min=6 exploredSolutions=20900000 branchedSolutions=434955826 limitsChecked=274854676
k=6 min=6 exploredSolutions=21000000 branchedSolutions=435979905 limitsChecked=275643472
k=6 min=6 exploredSolutions=21100000 branchedSolutions=437003973 limitsChecked=276432264
k=6 min=6 exploredSolutions=21200000 branchedSolutions=438028037 limitsChecked=277221054
k=6 min=6 exploredSolutions=21300000 branchedSolutions=439062479 limitsChecked=278009848
k=6 min=6 exploredSolutions=21400000 branchedSolutions=440117662 limitsChecked=278798644
k=6 min=6 exploredSolutions=21500000 branchedSolutions=441141701 limitsChecked=279587424
k=6 min=6 exploredSolutions=21600000 branchedSolutions=442186483 limitsChecked=280376208
k=6 min=6 exploredSolutions=21700000 branchedSolutions=443231289 limitsChecked=281165000
k=6 min=6 exploredSolutions=21800000 branchedSolutions=444255362 limitsChecked=281953794
k=6 min=6 exploredSolutions=21900000 branchedSolutions=445279430 limitsChecked=282742586
k=6 min=6 exploredSolutions=22000000 branchedSolutions=446303469 limitsChecked=283531366
k=6 min=6 exploredSolutions=22100000 branchedSolutions=447348295 limitsChecked=284320166
k=6 min=6 exploredSolutions=22200000 branchedSolutions=448393093 limitsChecked=285108956
k=6 min=6 exploredSolutions=22300000 branchedSolutions=449431130 limitsChecked=285897742
k=6 min=6 exploredSolutions=22400000 branchedSolutions=450482699 limitsChecked=286686538
k=6 min=6 exploredSolutions=22500000 branchedSolutions=451537860 limitsChecked=287475326
k=6 min=6 exploredSolutions=22600000 branchedSolutions=452572283 limitsChecked=288264112
k=6 min=6 exploredSolutions=22700000 branchedSolutions=453617086 limitsChecked=289052904
k=6 min=6 exploredSolutions=22800000 branchedSolutions=454661902 limitsChecked=289841700
k=6 min=6 exploredSolutions=22900000 branchedSolutions=455685950 limitsChecked=290630484
k=6 min=6 exploredSolutions=23000000 branchedSolutions=456710023 limitsChecked=291419278
k=6 min=6 exploredSolutions=23100000 branchedSolutions=457734096 limitsChecked=292208072
k=6 min=6 exploredSolutions=23200000 branchedSolutions=458778878 limitsChecked=292996854
k=6 min=6 exploredSolutions=23300000 branchedSolutions=459823681 limitsChecked=293785646
k=6 min=6 exploredSolutions=23400000 branchedSolutions=460852325 limitsChecked=294574426
k=6 min=6 exploredSolutions=23500000 branchedSolutions=461903828 limitsChecked=295363222
k=6 min=6 exploredSolutions=23600000 branchedSolutions=462958089 limitsChecked=296152020
k=6 min=6 exploredSolutions=23700000 branchedSolutions=464002865 limitsChecked=296940800
k=6 min=6 exploredSolutions=23800000 branchedSolutions=465042745 limitsChecked=297729594
k=6 min=6 exploredSolutions=23900000 branchedSolutions=466092499 limitsChecked=298518394
k=6 min=6 exploredSolutions=24000000 branchedSolutions=467116527 limitsChecked=299307170
k=6 min=6 exploredSolutions=24100000 branchedSolutions=468140605 limitsChecked=300095966
k=6 min=6 exploredSolutions=24200000 branchedSolutions=469164673 limitsChecked=300884758
k=6 min=6 exploredSolutions=24300000 branchedSolutions=470206855 limitsChecked=301673538
k=6 min=6 exploredSolutions=24400000 branchedSolutions=471254267 limitsChecked=302462336
k=6 min=6 exploredSolutions=24500000 branchedSolutions=472278330 limitsChecked=303251126
k=6 min=6 exploredSolutions=24600000 branchedSolutions=473325039 limitsChecked=304039912
k=6 min=6 exploredSolutions=24700000 branchedSolutions=474367925 limitsChecked=304828704
k=6 min=6 exploredSolutions=24800000 branchedSolutions=475391980 limitsChecked=305617490
k=6 min=6 exploredSolutions=24900000 branchedSolutions=476416053 limitsChecked=306406284
k=6 min=6 exploredSolutions=25000000 branchedSolutions=477440116 limitsChecked=307195074
k=6 min=6 exploredSolutions=25100000 branchedSolutions=478464175 limitsChecked=307983862
k=6 min=6 exploredSolutions=25200000 branchedSolutions=479488232 limitsChecked=308772650
k=6 min=6 exploredSolutions=25300000 branchedSolutions=480512315 limitsChecked=309561448
k=6 min=6 exploredSolutions=25400000 branchedSolutions=481536365 limitsChecked=310350232
k=6 min=6 exploredSolutions=25500000 branchedSolutions=482560418 limitsChecked=311139018
k=6 min=6 exploredSolutions=25600000 branchedSolutions=483584496 limitsChecked=311927814
k=6 min=6 exploredSolutions=25700000 branchedSolutions=484608555 limitsChecked=312716602
k=6 min=6 exploredSolutions=25800000 branchedSolutions=485653365 limitsChecked=313505396
k=6 min=6 exploredSolutions=25900000 branchedSolutions=486698180 limitsChecked=314294192
k=6 min=6 exploredSolutions=26000000 branchedSolutions=487722214 limitsChecked=315082970
k=6 min=6 exploredSolutions=26100000 branchedSolutions=488772195 limitsChecked=315871760
k=6 min=6 exploredSolutions=26200000 branchedSolutions=489811837 limitsChecked=316660560
k=6 min=6 exploredSolutions=26300000 branchedSolutions=490835880 limitsChecked=317449342
k=6 min=6 exploredSolutions=26400000 branchedSolutions=491859948 limitsChecked=318238134
k=6 min=6 exploredSolutions=26500000 branchedSolutions=492883982 limitsChecked=319026912
k=6 min=6 exploredSolutions=26600000 branchedSolutions=493934892 limitsChecked=319815714
k=6 min=6 exploredSolutions=26700000 branchedSolutions=494973611 limitsChecked=320604504
k=6 min=6 exploredSolutions=26800000 branchedSolutions=496018401 limitsChecked=321393290
k=6 min=6 exploredSolutions=26900000 branchedSolutions=497063228 limitsChecked=322182090
k=6 min=6 exploredSolutions=27000000 branchedSolutions=498087279 limitsChecked=322970876
k=6 min=6 exploredSolutions=27100000 branchedSolutions=499111329 limitsChecked=323759660
k=6 min=6 exploredSolutions=27200000 branchedSolutions=500135396 limitsChecked=324548452
k=6 min=6 exploredSolutions=27300000 branchedSolutions=501159476 limitsChecked=325337248
k=6 min=6 exploredSolutions=27400000 branchedSolutions=502183524 limitsChecked=326126032
k=6 min=6 exploredSolutions=27500000 branchedSolutions=503207607 limitsChecked=326914830
k=6 min=6 exploredSolutions=27600000 branchedSolutions=504231665 limitsChecked=327703618
k=6 min=6 exploredSolutions=27700000 branchedSolutions=505255721 limitsChecked=328492404
k=6 min=6 exploredSolutions=27800000 branchedSolutions=506279783 limitsChecked=329281194
k=6 min=6 exploredSolutions=27900000 branchedSolutions=507303820 limitsChecked=330069974
k=6 min=6 exploredSolutions=28000000 branchedSolutions=508327921 limitsChecked=330858778
k=6 min=6 exploredSolutions=28100000 branchedSolutions=509351978 limitsChecked=331647566
k=6 min=6 exploredSolutions=28200000 branchedSolutions=510376023 limitsChecked=332436348
k=6 min=6 exploredSolutions=28300000 branchedSolutions=511400096 limitsChecked=333225142
k=6 min=6 exploredSolutions=28400000 branchedSolutions=512424180 limitsChecked=334013940
k=6 min=6 exploredSolutions=28500000 branchedSolutions=513448228 limitsChecked=334802724
k=6 min=6 exploredSolutions=28600000 branchedSolutions=514472286 limitsChecked=335591512
k=6 min=6 exploredSolutions=28700000 branchedSolutions=515496364 limitsChecked=336380308
k=6 min=6 exploredSolutions=28800000 branchedSolutions=516520398 limitsChecked=337169086
k=6 min=6 exploredSolutions=28900000 branchedSolutions=517544476 limitsChecked=337957882
k=6 min=6 exploredSolutions=29000000 branchedSolutions=518568554 limitsChecked=338746678
k=6 min=6 exploredSolutions=29100000 branchedSolutions=519592593 limitsChecked=339535458
k=6 min=6 exploredSolutions=29200000 branchedSolutions=520616677 limitsChecked=340324256
k=6 min=6 exploredSolutions=29300000 branchedSolutions=521640761 limitsChecked=341113054
k=6 min=6 exploredSolutions=29400000 branchedSolutions=522664790 limitsChecked=341901830
k=6 min=6 exploredSolutions=29500000 branchedSolutions=523688874 limitsChecked=342690628
k=6 min=6 exploredSolutions=29600000 branchedSolutions=524712912 limitsChecked=343479408
k=6 min=6 exploredSolutions=29700000 branchedSolutions=525736979 limitsChecked=344268200
k=6 min=6 exploredSolutions=29800000 branchedSolutions=526761057 limitsChecked=345056996
k=6 min=6 exploredSolutions=29900000 branchedSolutions=527785102 limitsChecked=345845778
k=6 min=6 exploredSolutions=30000000 branchedSolutions=528809181 limitsChecked=346634574
k=6 min=6 exploredSolutions=30100000 branchedSolutions=529833233 limitsChecked=347423360
k=6 min=6 exploredSolutions=30200000 branchedSolutions=530857297 limitsChecked=348212150
k=6 min=6 exploredSolutions=30300000 branchedSolutions=531881371 limitsChecked=349000944
k=6 min=6 exploredSolutions=30400000 branchedSolutions=532905450 limitsChecked=349789740
k=6 min=6 exploredSolutions=30500000 branchedSolutions=533929494 limitsChecked=350578522
k=6 min=6 exploredSolutions=30600000 branchedSolutions=534953540 limitsChecked=351367306
k=6 min=6 exploredSolutions=30700000 branchedSolutions=535977635 limitsChecked=352156108
k=6 min=6 exploredSolutions=30800000 branchedSolutions=537001683 limitsChecked=352944892
k=6 min=6 exploredSolutions=30900000 branchedSolutions=538025746 limitsChecked=353733682
k=6 min=6 exploredSolutions=31000000 branchedSolutions=539049796 limitsChecked=354522466
k=6 min=6 exploredSolutions=31100000 branchedSolutions=540073875 limitsChecked=355311262
k=6 min=6 exploredSolutions=31200000 branchedSolutions=541097937 limitsChecked=356100052
k=6 min=6 exploredSolutions=31300000 branchedSolutions=542121991 limitsChecked=356888838
k=6 min=6 exploredSolutions=31400000 branchedSolutions=543166818 limitsChecked=357677638
k=6 min=6 exploredSolutions=31500000 branchedSolutions=544211610 limitsChecked=358466426
k=6 min=6 exploredSolutions=31600000 branchedSolutions=545235660 limitsChecked=359255210
k=6 min=6 exploredSolutions=31700000 branchedSolutions=546285642 limitsChecked=360044000
k=6 min=6 exploredSolutions=31800000 branchedSolutions=547325274 limitsChecked=360832796
k=6 min=6 exploredSolutions=31900000 branchedSolutions=548349322 limitsChecked=361621580
k=6 min=6 exploredSolutions=32000000 branchedSolutions=549373400 limitsChecked=362410376
k=6 min=6 exploredSolutions=32100000 branchedSolutions=550397479 limitsChecked=363199172
k=6 min=6 exploredSolutions=32200000 branchedSolutions=551449614 limitsChecked=363987952
k=6 min=6 exploredSolutions=32300000 branchedSolutions=552487058 limitsChecked=364776744
